algorithm,size,instance_idx,seed,tour_length,execution_time,status,instance_type
Held-Karp DP,8,0,42,253.27750067749182,0.0016350746154785156,success,euclidean
Branch & Bound,8,0,42,253.27750067749182,0.0031969547271728516,success,euclidean
MST 2-Approximation,8,0,42,253.27750067749182,6.747245788574219e-05,success,euclidean
Nearest Neighbor,8,0,42,253.27750067749182,5.054473876953125e-05,success,euclidean
Multi-start NN,8,0,42,253.27750067749182,0.0001461505889892578,success,euclidean
NN + 2-opt,8,0,42,253.27750067749182,8.273124694824219e-05,success,euclidean
Multi-start NN + 2-opt,8,0,42,253.27750067749182,0.0007221698760986328,success,euclidean
Brute Force,8,1,43,218.84799770219527,0.016045331954956055,success,euclidean
Held-Karp DP,8,1,43,218.84799770219527,0.0014483928680419922,success,euclidean
Branch & Bound,8,1,43,218.84799770219527,0.0017132759094238281,success,euclidean
MST 2-Approximation,8,1,43,286.4926406686349,4.744529724121094e-05,success,euclidean
Nearest Neighbor,8,1,43,286.4926406686349,2.8371810913085938e-05,success,euclidean
Multi-start NN,8,1,43,218.84799770219527,0.00010085105895996094,success,euclidean
NN + 2-opt,8,1,43,218.84799770219527,0.00011801719665527344,success,euclidean
Multi-start NN + 2-opt,8,1,43,218.84799770219527,0.0005297660827636719,success,euclidean
Brute Force,8,2,44,291.6372402654627,0.018298625946044922,success,euclidean
Held-Karp DP,8,2,44,291.6372402654627,0.0012454986572265625,success,euclidean
Branch & Bound,8,2,44,291.6372402654627,0.006360530853271484,success,euclidean
MST 2-Approximation,8,2,44,344.3902460129744,6.079673767089844e-05,success,euclidean
Nearest Neighbor,8,2,44,300.3017500672329,4.863739013671875e-05,success,euclidean
Multi-start NN,8,2,44,300.3017500672329,0.00011849403381347656,success,euclidean
NN + 2-opt,8,2,44,291.6372402654627,8.153915405273438e-05,success,euclidean
Multi-start NN + 2-opt,8,2,44,291.6372402654627,0.0005309581756591797,success,euclidean
Held-Karp DP,10,0,42,264.13887564142317,0.007896900177001953,success,euclidean
Branch & Bound,10,0,42,264.13887564142317,0.009893178939819336,success,euclidean
MST 2-Approximation,10,0,42,294.6618145190964,8.487701416015625e-05,success,euclidean
Nearest Neighbor,10,0,42,294.6618145190964,3.9577484130859375e-05,success,euclidean
Multi-start NN,10,0,42,264.13887564142317,0.00020956993103027344,success,euclidean
NN + 2-opt,10,0,42,264.13887564142317,0.00012969970703125,success,euclidean
Multi-start NN + 2-opt,10,0,42,264.13887564142317,0.0010371208190917969,success,euclidean
Held-Karp DP,10,1,43,264.02338802865836,0.010634422302246094,success,euclidean
Branch & Bound,10,1,43,264.02338802865836,0.013282537460327148,success,euclidean
MST 2-Approximation,10,1,43,335.53695994261636,5.221366882324219e-05,success,euclidean
Nearest Neighbor,10,1,43,335.53695994261636,3.3855438232421875e-05,success,euclidean
Multi-start NN,10,1,43,264.0233880286584,0.00017261505126953125,success,euclidean
NN + 2-opt,10,1,43,264.02338802865836,0.000308990478515625,success,euclidean
Multi-start NN + 2-opt,10,1,43,264.02338802865836,0.0011436939239501953,success,euclidean
Held-Karp DP,10,2,44,352.6772179507615,0.007475376129150391,success,euclidean
Branch & Bound,10,2,44,352.6772179507615,0.04648113250732422,success,euclidean
MST 2-Approximation,10,2,44,416.430686496571,6.961822509765625e-05,success,euclidean
Nearest Neighbor,10,2,44,427.2915746882348,3.218650817871094e-05,success,euclidean
Multi-start NN,10,2,44,365.6460250375178,0.00017571449279785156,success,euclidean
NN + 2-opt,10,2,44,352.6772179507615,0.00024127960205078125,success,euclidean
Multi-start NN + 2-opt,10,2,44,352.6772179507614,0.0012524127960205078,success,euclidean
